airport,date,pax_actual,pax_pred,lower,upper,in_interval
FR_LFLL,2025-01-01,747981,735432.5733329494,595189.5018548443,875675.6448110546,True
FR_LFLL,2025-02-01,745018,783181.056393532,642937.9849154268,923424.1278716371,True
FR_LFLL,2025-03-01,852102,871394.4743302274,731151.4028521222,1011637.5458083325,True
FR_LFLL,2025-04-01,926335,976489.2003286012,836246.128850496,1116732.2718067062,True
FR_LFLL,2025-05-01,969096,1006504.1644489266,866261.0929708214,1146747.2359270318,True
FR_LFLL,2025-06-01,981184,1014994.310003843,874751.2385257379,1155237.3814819483,True
FR_LFLL,2025-07-01,985648,1041641.7608868475,901398.6894087424,1181884.8323649527,True
FR_LFLL,2025-08-01,1009879,1052511.1206262757,912268.0491481705,1192754.1921043808,True
FR_LFLL,2025-09-01,922880,1009331.5804151646,869088.5089370594,1149574.6518932697,True
FR_LFLL,2025-10-01,975077,976576.700335311,836333.6288572059,1116819.7718134162,True
FR_LFLL,2025-11-01,723167,779379.2327789771,639136.161300872,919622.3042570823,True
FR_LFRS,2025-01-01,390737,415447.7446344115,275204.6731563063,555690.8161125167,True
FR_LFRS,2025-02-01,438681,412102.76376443,271859.69228632486,552345.8352425352,True
FR_LFRS,2025-03-01,499448,475131.85055895563,334888.7790808505,615374.9220370608,True
FR_LFRS,2025-04-01,678341,586414.7071179888,446171.6356398837,726657.778596094,True
FR_LFRS,2025-05-01,716242,664890.6633185984,524647.5918404933,805133.7347967036,True
FR_LFRS,2025-06-01,708047,711296.4635767884,571053.3920986833,851539.5350548936,True
FR_LFRS,2025-07-01,718399,757188.6171569811,616945.545678876,897431.6886350863,True
FR_LFRS,2025-08-01,766702,747634.8596184272,607391.7881403221,887877.9310965324,True
FR_LFRS,2025-09-01,665009,682269.606098892,542026.5346207869,822512.6775769972,True
FR_LFRS,2025-10-01,686827,679464.3628130453,539221.2913349401,819707.4342911504,True
FR_LFRS,2025-11-01,426348,474171.30465976935,333928.2331816642,614414.3761378746,True
HU_LHBP,2025-01-01,1288598,1328994.9546631705,1188751.8831850654,1469238.0261412757,True
HU_LHBP,2025-02-01,1242494,1318061.2776776897,1177818.2061995845,1458304.3491557948,True
HU_LHBP,2025-03-01,1464260,1489198.2045617432,1348955.133083638,1629441.2760398483,True
HU_LHBP,2025-04-01,1659958,1587791.762202155,1447548.69072405,1728034.8336802602,True
HU_LHBP,2025-05-01,1694523,1620161.6489560395,1479918.5774779343,1760404.7204341446,True
HU_LHBP,2025-06-01,1690695,1679701.2326823461,1539458.161204241,1819944.3041604513,True
HU_LHBP,2025-07-01,1839837,1807775.0269586209,1667531.9554805157,1948018.098436726,True
HU_LHBP,2025-08-01,1898331,1875706.1896200182,1735463.118141913,2015949.2610981234,True
HU_LHBP,2025-09-01,1791601,1814373.1638925094,1674130.0924144043,1954616.2353706146,True
HU_LHBP,2025-10-01,1812101,1796080.9891051722,1655837.917627067,1936324.0605832774,True
HU_LHBP,2025-11-01,1548072,1663964.6177067335,1523721.5462286284,1804207.6891848387,True
HU_LHBP,2025-12-01,1638758,1615848.029201178,1475604.957723073,1756091.1006792833,True
HU_LHBP,2026-01-01,1328630,1574692.1851495237,1434449.1136714185,1714935.2566276288,False
HU_LHBP,2026-02-01,1329808,1632364.8957704334,1492121.8242923282,1772607.9672485385,False
HU_LHBP,2026-03-01,1479697,1738099.0200177236,1597855.9485396184,1878342.0914958287,False
PT_LPPR,2025-01-01,947799,1028244.5044575483,888001.4329794431,1168487.5759356534,True
PT_LPPR,2025-02-01,1013815,1036144.7830504681,895901.7115723629,1176387.8545285733,True
PT_LPPR,2025-03-01,1248046,1239835.9598030678,1099592.8883249627,1380079.031281173,True
PT_LPPR,2025-04-01,1493601,1412391.1002516004,1272148.0287734952,1552634.1717297055,True
PT_LPPR,2025-05-01,1563107,1553042.6618880427,1412799.5904099375,1693285.7333661478,True
PT_LPPR,2025-06-01,1621820,1616014.468198449,1475771.3967203437,1756257.539676554,True
PT_LPPR,2025-07-01,1671668,1742035.4685961704,1601792.3971180653,1882278.5400742756,True
PT_LPPR,2025-08-01,1763317,1825614.028077044,1685370.956598939,1965857.0995551492,True
PT_LPPR,2025-09-01,1631539,1714001.4879505811,1573758.416472476,1854244.5594286863,True
PT_LPPR,2025-10-01,1565489,1580596.4213295064,1440353.3498514013,1720839.4928076116,True
PT_LPPR,2025-11-01,1169035,1196286.782556885,1056043.7110787798,1336529.85403499,True
PT_LPPR,2025-12-01,1234017,1283758.487653755,1143515.4161756497,1424001.55913186,True
PT_LPPT,2025-01-01,2411662,2389956.157933871,2249713.0864557656,2530199.229411976,True
PT_LPPT,2025-02-01,2358318,2450297.9098804416,2310054.8384023365,2590540.9813585468,True
PT_LPPT,2025-03-01,2840299,2931066.613755836,2790823.542277731,3071309.6852339413,True
PT_LPPT,2025-04-01,3092634,3062502.311944773,2922259.240466668,3202745.383422878,True
PT_LPPT,2025-05-01,3266024,3145654.5701193362,3005411.498641231,3285897.6415974414,True
PT_LPPT,2025-06-01,3234636,3185306.563539034,3045063.492060929,3325549.6350171394,True
PT_LPPT,2025-07-01,3413305,3271144.2657493805,3130901.1942712753,3411387.3372274856,False
