feature,importance
pax_lag_12,477
pax_lag_1,358
oil_price_usd,285
pax_yoy_growth,265
month_cos,257
month_sin,206
pax_rolling_std_6,185
pax_rolling_std_3,169
unemployment_rate,161
pax_rolling_mean_12,152
pax_per_flight,146
pax_lag_6,143
pax_rolling_std_12,133
network_total_pax,124
gdp,108
is_school_vacation,103
country_market_share,87
n_flights,81
pax_lag_3,76
pax_lag_2,76
network_rank,73
country_total_pax,68
n_holidays,61
pax_rolling_mean_3,58
pax_rolling_mean_6,56
is_covid,47
is_summer,18
quarter,12
exchange_rate,12
airport_cat,9
event_covid,8
event_ukraine_war,7
event_conference,0
event_major_sport,0
