model,airport,horizon,mae,rmse,mape
LightGBM_Recursive,FR_LFLL,1,19973.95198666642,19973.95198666642,2.6703822672857225
LightGBM_Recursive,FR_LFRS,1,9308.858317127684,9308.858317127684,2.3823846518573064
LightGBM_Recursive,HU_LHBP,1,22967.01977383811,22967.01977383811,1.7823262005558065
LightGBM_Recursive,PT_LPPT,1,17.224826098885387,17.224826098885387,0.0007142305223072464
LightGBM_Recursive,PT_LPPR,1,22971.42383760051,22971.42383760051,2.423659851677466
LightGBM_Recursive,RS_LYBE,1,1857.4934529339662,1857.4934529339662,0.3295221783726188
SARIMA,FR_LFLL,1,14345.951222511241,14345.951222511241,1.9179566355978617
SARIMA,FR_LFRS,1,29873.47882104054,29873.47882104054,7.645418483798704
SARIMA,HU_LHBP,1,153748.67331919912,153748.67331919912,11.931469187380324
SARIMA,PT_LPPT,1,51019.68093046779,51019.68093046779,2.115540275978466
SARIMA,PT_LPPR,1,77085.58498071984,77085.58498071984,8.133115247085072
SARIMA,RS_LYBE,1,22608.52076996991,22608.52076996991,4.010786149547699
LightGBM_Recursive,FR_LFLL,3,20794.533748293645,20837.35829355252,2.676658037825927
LightGBM_Recursive,FR_LFRS,3,18509.6315518288,25591.571541930352,4.278572426247522
LightGBM_Recursive,HU_LHBP,3,28905.13663907706,31881.005806119898,2.2384102585251417
LightGBM_Recursive,PT_LPPT,3,40913.723109053135,68840.49689080911,1.726369535465853
LightGBM_Recursive,PT_LPPR,3,21778.699219175305,21808.767492044826,2.064239028007672
LightGBM_Recursive,RS_LYBE,3,8627.525452246191,11521.394549778957,1.5832662443828927
SARIMA,FR_LFLL,3,26846.61347539944,28321.078865021635,3.402511233462501
SARIMA,FR_LFRS,3,16062.709238595,19068.149150437614,3.81926978593044
SARIMA,HU_LHBP,3,134830.71894878987,142486.99232330074,10.414065462900679
SARIMA,PT_LPPT,3,91097.7517982251,96571.38299920388,3.6242892178527795
SARIMA,PT_LPPR,3,57431.42742582259,59100.81234038842,5.538740098848601
SARIMA,RS_LYBE,3,22391.155262717006,23002.22014172119,4.2136942065913185
LightGBM_Recursive,FR_LFLL,6,19786.676801223482,20920.66958606443,2.3199908417031794
LightGBM_Recursive,FR_LFRS,6,18856.7615800026,23302.350893381983,3.521733931476779
LightGBM_Recursive,HU_LHBP,6,38287.91217872341,41806.23101642382,2.5405454568291757
LightGBM_Recursive,PT_LPPT,6,37749.457101773936,54519.0592432906,1.4042773304414549
LightGBM_Recursive,PT_LPPR,6,13730.31755983422,16051.608064176708,1.2123286668231459
LightGBM_Recursive,RS_LYBE,6,17411.454624560854,20266.69907171221,2.5062428896154096
SARIMA,FR_LFLL,6,35729.89768258154,38014.88347954729,4.041218574713095
SARIMA,FR_LFRS,6,33168.921881606286,45183.68695557278,5.554074390698767
SARIMA,HU_LHBP,6,91881.05051115062,107416.4749240749,6.662696364278546
SARIMA,PT_LPPT,6,142912.6487161723,158252.76731350625,4.858841183672816
SARIMA,PT_LPPR,6,101750.92834717386,111577.33927266876,7.450815857904693
SARIMA,RS_LYBE,6,50969.35604333144,60195.76207206492,7.2560205456296325
LightGBM_Recursive,FR_LFLL,12,19990.453205773978,22367.174451555133,2.2379069676585717
LightGBM_Recursive,FR_LFRS,12,18982.26424653041,23740.089061214676,3.4935286109340926
LightGBM_Recursive,HU_LHBP,12,81619.00094101188,107925.62007285873,4.693016972377904
LightGBM_Recursive,PT_LPPT,12,60655.302734258235,78007.7675119919,2.04602967709579
LightGBM_Recursive,PT_LPPR,12,22416.238564292667,31345.4796539851,1.5797045128596836
LightGBM_Recursive,RS_LYBE,12,16502.887248126073,18946.92343847768,2.2019731448201885
SARIMA,HU_LHBP,12,76155.8109347353,89589.91835654195,5.092998633362869
SARIMA,PT_LPPT,12,104335.09749566326,127820.51751203944,3.5882318841843035
SARIMA,PT_LPPR,12,77419.0784935955,91192.42390213737,5.3355000818107
SARIMA,RS_LYBE,12,52975.43110649701,58598.66880429251,6.877910514225507
